user_question,label_2
Здравствуйте! Можно уточнить причины Правилhttps://rutube.ru/info/taboo_agreement/ по которым удаляются ролики? что за нарушение правил RUTUBE ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ,Отклонение/блокировка видео
"Добрый вечер, какой топ причин блокировки видео на рутубе?",Отклонение/блокировка видео
У контента из интернета есть авторские права?,Отклонение/блокировка видео
Что защищено авторским правом? Какие материалы,Отклонение/блокировка видео
"Если я видео размещаю, авторские права у вас будут?",Отклонение/блокировка видео
кто правообладатель аорских прав на размещенный ролик на канале?,Отклонение/блокировка видео
Кому принадлежат авторские права на данный контент?,Отклонение/блокировка видео
"пройдет видео модерация, если цитировать чужие материалы?",Отклонение/блокировка видео
Могу я в видео процитировать произведение известного нейрохирурга?,Отклонение/блокировка видео
Не запрещено цитировать произведения?,Отклонение/блокировка видео
"Пытался загрузить фильм и получаю:""Видео удалено за нарушение пользовательского соглашения""почему так?",Отклонение/блокировка видео
"можно ли делать вставки из чужие роликов мини фильмов, будет опубликовано?",Отклонение/блокировка видео
"Если беру материалы для публикации интернета, надо вам что-то предоставлять?",Отклонение/блокировка видео
ролики из инета защищены авторским правом?,Отклонение/блокировка видео
"Что сделать, чтобы использовать в видео материалы, которые распространяются по свободной лицензии?",Отклонение/блокировка видео
"Могу я использовать музыку, которая распространяется по свободной лицензии?",Отклонение/блокировка видео
Какие видео  с чтением чужих книг можно публиковать?,Отклонение/блокировка видео
"ВОПРОС ОБ ОТКАЗЕ ОТ ПУБЛИКОВАНИЯ ПРОИЗВЕДЕНИЯ ОБЩЕСТВЕННОГО ДОСТОЯНИЯ, БУДЕТ ТАКОЕ?",Отклонение/блокировка видео
Что за переход в общественное достояние?,Отклонение/блокировка видео
через сколько лет переход общественное достояние?,Отклонение/блокировка видео
произведние в общественном достоянии? О чем это?,Отклонение/блокировка видео
"Почему не скажете, кому пренадлежат эти права?",Отклонение/блокировка видео
"Кто этот правообладатель прав, почему не уведомляете фамилией?",Отклонение/блокировка видео
Некоторые комментарии  и видео фильтры Рутуба почему-то пропускают. Пожаловаться тоже непонятно как  среди сотен отзывов весьма проблематично.Спасибо.,Нарушение авторских прав
"Доброго дня хочу пожаловаться на видео. В этом видео автор канала просит скидывать денежные средства, на электронные кошельки указанные в описание к видео, при этом не предоставив никаких документов.  Усматривают в этом нарушение законодательства РФ, а именно 151 статью УК РФ -Попрошайничество и статья мошенничество 159 УК РФ.  Прошу незамедлительно заблокировать данное видео на вашей платформе",Нарушение авторских прав
Какие у вас правила для проведения стримов?,Отклонение/блокировка видео
"На рутуб есть какие-то ограничения для трансляций, что нельзя делать и показывать например?",Отклонение/блокировка видео
"Есть ли у вас запреты на трансляциях, за что забанить могут?",Отклонение/блокировка видео
"Мне подписчики заказали фильм посмотреть, у вас можно будет провести такой стрим с просмотром фильма?",Отклонение/блокировка видео
"Можно ли на рутубе смотреть фильмы на трансляциях со зрителями, чтобы мы могли онлайн обсуждать и комментировать?",Отклонение/блокировка видео
Могу ли я включать музыку у себя на стриме?,Отклонение/блокировка видео
Я могу зрителям включать музыку на фон когда отхожу во время трансляции?,Отклонение/блокировка видео
А ничего если я на стриме буду пить пиво?,Отклонение/блокировка видео
"Я буду стримить свой ДР и отмечать с подписчиками, естественно буду выпивать там шампанское или вино, тортик будет)) у вас можно такое?",Отклонение/блокировка видео
Если я парю во время трансляии не забаните?),Отклонение/блокировка видео
Какие у вас условия для 18+ трансляций?,Смена категории/возрастные ограничения
В каком случае мне нужно отметить свой стрим как 18+?,Смена категории/возрастные ограничения
Что за можеерация?,Отклонение/блокировка видео
Что такое эта ваша модерация?,Отклонение/блокировка видео
Что происходит во время модерации?,Отклонение/блокировка видео
Что вы смотрите на модерации?,Отклонение/блокировка видео
Кто проводит модерацию?,Отклонение/блокировка видео
"Как вы осушествляете модерацию, это люди или машины?",Отклонение/блокировка видео
Вы модерируете сами или это роботы?,Отклонение/блокировка видео
Сколь ждать модерации видео?,Долгая модерация
"Скажите, а сколько примерно по времени занимает модерация",Долгая модерация
"Здравствуйте! При модерации высветилось ""Видео удалено за нарушение пользовательского соглашения"". Не понимаю, что именно оно нарушает.",Отклонение/блокировка видео
"Ваше видео отклонено, этьо что ?",Отклонение/блокировка видео
"Почему пишет, что моё видео отклонено?",Отклонение/блокировка видео
Мой ролик не прошел стадию модерации? В чём причина?,Отклонение/блокировка видео
Что делать если моё виде не прошло вашу модерацию?,Отклонение/блокировка видео
"На сайт не пускает, пишет что заблокировали",Блокировка канала
"Иеня заблокировали и не пускает, что не так?",Блокировка канала
Что во время стрима можно?,Отклонение/блокировка видео
Что делать во время прямого эфира можно?,Отклонение/блокировка видео
"Где сое видео, я его загрузил, а его нет",Долгая модерация
"нет моего видео, я его недавно загрузил",Долгая модерация
"С какой это стати мое виде теперь в разделе ""Лайфстайл""?",Смена категории/возрастные ограничения
Почему сменили категорию без моего ведома?,Смена категории/возрастные ограничения
что за 18+ рядом с моим видео? Как убрать?,Смена категории/возрастные ограничения
Уберите значек 18+ что это вообще такое,Смена категории/возрастные ограничения
"Видео не соответствует вашим правилам, как пожаловаться?",Запрещенный контент
Этот ролик нарушает закон,Запрещенный контент
"Есть видео у вас, которые противоречат законам рф, что сделать?",Запрещенный контент
"Удалите мой ролик, я не давал разрешение на публикацию",Нарушение авторских прав
Моё видео опубликовали без спроса,Нарушение авторских прав
"Я не побликовал этот ролик, он мой",Нарушение авторских прав
Как убрать непонятную метку 18+,Смена категории/возрастные ограничения
"У меня такой вопрос, че за 18+, как это убрать?",Смена категории/возрастные ограничения
Что за метка 18+? Уберите её,Смена категории/возрастные ограничения
"Видео уже загрузил, а его почему-то нет?",Долгая модерация
"Загрузка видео прошла, но его почему-то нет на рутубе.",Долгая модерация
"Загрузка видео завершена, а его нет",Долгая модерация
"Здравствуйте, опять изменилась категория ролика с музыки на развлечение! Верните обратно , пожалуйста",Смена категории/возрастные ограничения
"Почему категория поменялась, было разное категория?",Смена категории/возрастные ограничения
"здравствуйте, система неправильно выставляет категорию на мои видео. У меня категория ""детское"" а ставится ""Разное"" или ""Развлечения"". можно ли поменять категории на моих видео?",Смена категории/возрастные ограничения
Что нельзя публиковать на RUTUBE?,Отклонение/блокировка видео
Какие материалы защищены авторским правом?,Отклонение/блокировка видео
"Кому принадлежат авторские права на контент, который я размещаю на платформе?",Отклонение/блокировка видео
Можно ли цитировать чужие произведения?,Отклонение/блокировка видео
Могу ли я использовать небольшие фрагменты фильмов для создания своих видео?,Отклонение/блокировка видео
Можно ли свободно использовать материалы из интернета или из общего доступа?,Отклонение/блокировка видео
